objectid,filename,title,creator,date,source,identifier,type,format
gbby-45g347,http://archives.nd.edu/Bagby/GBBY-45g347.jpg,GBBY 45G/347: Football Player: Unidentified - c1920s,University of Notre Dame Archives,1920s,http://archives.nd.edu/Bagby/GBBY-45g347.jpg,gbby-45g347,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g348,http://archives.nd.edu/Bagby/GBBY-45g348.jpg,GBBY 45G/348: Football Player: Wayne Millner - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g348.jpg,gbby-45g348,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g349,http://archives.nd.edu/Bagby/GBBY-45g349.jpg,GBBY 45G/349: Football Player: Unidentified - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g349.jpg,gbby-45g349,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g350,http://archives.nd.edu/Bagby/GBBY-45g350.jpg,GBBY 45G/350: Football Player: Unidentified - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g350.jpg,gbby-45g350,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g352,http://archives.nd.edu/Bagby/GBBY-45g352.jpg,GBBY 45G/352: Football Player: Unidentified - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g352.jpg,gbby-45g352,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g353,http://archives.nd.edu/Bagby/GBBY-45g353.jpg,GBBY 45G/353: Football Player: Unidentified - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g353.jpg,gbby-45g353,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g354,http://archives.nd.edu/Bagby/GBBY-45g354.jpg,GBBY 45G/354: Football Player: Unidentified - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g354.jpg,gbby-45g354,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g355,http://archives.nd.edu/Bagby/GBBY-45g355.jpg,GBBY 45G/355: Football Player: Unidentified - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g355.jpg,gbby-45g355,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g356,http://archives.nd.edu/Bagby/GBBY-45g356.jpg,GBBY 45G/356: Football Player: Anthony (Tony) Mazziotti - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g356.jpg,gbby-45g356,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g357,http://archives.nd.edu/Bagby/GBBY-45g357.jpg,GBBY 45G/357: Football Player: William (Bill) Shakespeare - c1933-1935,University of Notre Dame Archives,1933-1935,http://archives.nd.edu/Bagby/GBBY-45g357.jpg,gbby-45g357,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g358,http://archives.nd.edu/Bagby/GBBY-45g358.jpg,GBBY 45G/358: Football Player: Unidentified - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g358.jpg,gbby-45g358,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g359,http://archives.nd.edu/Bagby/GBBY-45g359.jpg,GBBY 45G/359: Football: Unidentified Men in Suits - Trainers? - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g359.jpg,gbby-45g359,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g360,http://archives.nd.edu/Bagby/GBBY-45g360.jpg,GBBY 45G/360: Football: Unidentified - Trainer and Managers? - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g360.jpg,gbby-45g360,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g361,http://archives.nd.edu/Bagby/GBBY-45g361.jpg,GBBY 45G/361: Football Player: Unidentified - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g361.jpg,gbby-45g361,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g369,http://archives.nd.edu/Bagby/GBBY-45g369.jpg,GBBY 45G/369: Knute Rockne - on Sidelines in Wheelchair - c1920s,University of Notre Dame Archives,1920s,http://archives.nd.edu/Bagby/GBBY-45g369.jpg,gbby-45g369,Image;StillImage;Glassplatenegative,image/jpeg
